dataset_id,protocol_id,n_sub,replicate_id,classifier_id,fold_id,auc
toy,cv5,100,9,c1,3,0.8381
toy,cv5,100,9,c1,4,0.8794
toy,cv5,100,9,c1,5,0.7895
toy,cv5,100,9,c2,1,0.8352
toy,cv5,100,9,c2,2,0.8283
toy,cv5,100,9,c2,3,0.7992
toy,cv5,100,9,c2,4,0.7694
toy,cv5,100,9,c2,5,0.8225
toy,cv5,100,9,c3,1,0.7415
toy,cv5,100,9,c3,2,0.7681
toy,cv5,100,9,c3,3,0.7608
toy,cv5,100,9,c3,4,0.8161
toy,cv5,100,9,c3,5,0.7516
toy,cv5,100,10,c1,1,0.8142
toy,cv5,100,10,c1,2,0.8563
toy,cv5,100,10,c1,3,0.8577
toy,cv5,100,10,c1,4,0.8976
toy,cv5,100,10,c1,5,0.8792
toy,cv5,100,10,c2,1,0.8325
toy,cv5,100,10,c2,2,0.8712
toy,cv5,100,10,c2,3,0.7784
toy,cv5,100,10,c2,4,0.7976
toy,cv5,100,10,c2,5,0.7876
toy,cv5,100,10,c3,1,0.7464
toy,cv5,100,10,c3,2,0.7118
toy,cv5,100,10,c3,3,0.7822
toy,cv5,100,10,c3,4,0.7522
toy,cv5,100,10,c3,5,0.7085
toy,cv5,100,11,c1,1,0.8145
toy,cv5,100,11,c1,2,0.861
toy,cv5,100,11,c1,3,0.8793
toy,cv5,100,11,c1,4,0.9199
toy,cv5,100,11,c1,5,0.952
toy,cv5,100,11,c2,1,0.8345
toy,cv5,100,11,c2,2,0.7854
toy,cv5,100,11,c2,3,0.7454
toy,cv5,100,11,c2,4,0.8294
toy,cv5,100,11,c2,5,0.7915
toy,cv5,100,11,c3,1,0.7455
toy,cv5,100,11,c3,2,0.7386
toy,cv5,100,11,c3,3,0.7551
toy,cv5,100,11,c3,4,0.7973
toy,cv5,100,11,c3,5,0.7655
toy,cv5,100,12,c1,1,0.8444
toy,cv5,100,12,c1,2,0.8138
toy,cv5,100,12,c1,3,0.7914
toy,cv5,100,12,c1,4,0.833
toy,cv5,100,12,c1,5,0.8481
toy,cv5,100,12,c2,1,0.8819
toy,cv5,100,12,c2,2,0.8246
toy,cv5,100,12,c2,3,0.8544
toy,cv5,100,12,c2,4,0.8025
toy,cv5,100,12,c2,5,0.7785
toy,cv5,100,12,c3,1,0.7262
toy,cv5,100,12,c3,2,0.7346
toy,cv5,100,12,c3,3,0.8345
toy,cv5,100,12,c3,4,0.7313
toy,cv5,100,12,c3,5,0.7893
toy,cv5,100,13,c1,1,0.8184
toy,cv5,100,13,c1,2,0.8826
toy,cv5,100,13,c1,3,0.8635
toy,cv5,100,13,c1,4,0.8445
toy,cv5,100,13,c1,5,0.8486
toy,cv5,100,13,c2,1,0.7971
toy,cv5,100,13,c2,2,0.8356
toy,cv5,100,13,c2,3,0.8041
toy,cv5,100,13,c2,4,0.7771
toy,cv5,100,13,c2,5,0.7753
toy,cv5,100,13,c3,1,0.766
toy,cv5,100,13,c3,2,0.8153
toy,cv5,100,13,c3,3,0.7656
toy,cv5,100,13,c3,4,0.7558
toy,cv5,100,13,c3,5,0.77
toy,cv5,100,14,c1,1,0.8957
toy,cv5,100,14,c1,2,0.8577
toy,cv5,100,14,c1,3,0.8356
toy,cv5,100,14,c1,4,0.8887
toy,cv5,100,14,c1,5,0.865
toy,cv5,100,14,c2,1,0.8738
toy,cv5,100,14,c2,2,0.8264
toy,cv5,100,14,c2,3,0.7771
toy,cv5,100,14,c2,4,0.7721
toy,cv5,100,14,c2,5,0.8778
toy,cv5,100,14,c3,1,0.8203
toy,cv5,100,14,c3,2,0.7537
toy,cv5,100,14,c3,3,0.7466
toy,cv5,100,14,c3,4,0.8112
toy,cv5,100,14,c3,5,0.7213
toy,cv5,100,15,c1,1,0.8187
toy,cv5,100,15,c1,2,0.8725
toy,cv5,100,15,c1,3,0.8362
toy,cv5,100,15,c1,4,0.8498
toy,cv5,100,15,c1,5,0.8443
toy,cv5,100,15,c2,1,0.8318
toy,cv5,100,15,c2,2,0.8693
toy,cv5,100,15,c2,3,0.8232
toy,cv5,100,15,c2,4,0.8425
toy,cv5,100,15,c2,5,0.7482
toy,cv5,100,15,c3,1,0.7583
toy,cv5,100,15,c3,2,0.7305
toy,cv5,100,15,c3,3,0.7173
toy,cv5,100,15,c3,4,0.7293
toy,cv5,100,15,c3,5,0.7483
toy,cv5,100,16,c1,1,0.8821
toy,cv5,100,16,c1,2,0.8036
toy,cv5,100,16,c1,3,0.8511
toy,cv5,100,16,c1,4,0.8331
toy,cv5,100,16,c1,5,0.8385
toy,cv5,100,16,c2,1,0.8551
toy,cv5,100,16,c2,2,0.8388
toy,cv5,100,16,c2,3,0.8668
toy,cv5,100,16,c2,4,0.8146
toy,cv5,100,16,c2,5,0.7956
toy,cv5,100,16,c3,1,0.7522
toy,cv5,100,16,c3,2,0.7685
toy,cv5,100,16,c3,3,0.7662
toy,cv5,100,16,c3,4,0.722
toy,cv5,100,16,c3,5,0.7632
toy,cv5,100,17,c1,1,0.858
toy,cv5,100,17,c1,2,0.9381
toy,cv5,100,17,c1,3,0.9157
toy,cv5,100,17,c1,4,0.8201
toy,cv5,100,17,c1,5,0.8399
toy,cv5,100,17,c2,1,0.7688
toy,cv5,100,17,c2,2,0.7993
toy,cv5,100,17,c2,3,0.831
toy,cv5,100,17,c2,4,0.8622
toy,cv5,100,17,c2,5,0.7945
toy,cv5,100,17,c3,1,0.7371
toy,cv5,100,17,c3,2,0.6848
toy,cv5,100,17,c3,3,0.7543
toy,cv5,100,17,c3,4,0.7228
toy,cv5,100,17,c3,5,0.7415
toy,cv5,100,18,c1,1,0.8193
toy,cv5,100,18,c1,2,0.8467
toy,cv5,100,18,c1,3,0.7885
toy,cv5,100,18,c1,4,0.7987
toy,cv5,100,18,c1,5,0.9245
toy,cv5,100,18,c2,1,0.7749
toy,cv5,100,18,c2,2,0.7816
toy,cv5,100,18,c2,3,0.8843
toy,cv5,100,18,c2,4,0.9217
toy,cv5,100,18,c2,5,0.779
toy,cv5,100,18,c3,1,0.7471
toy,cv5,100,18,c3,2,0.772
toy,cv5,100,18,c3,3,0.8205
toy,cv5,100,18,c3,4,0.7255
toy,cv5,100,18,c3,5,0.7514
toy,cv5,100,19,c1,1,0.8772
toy,cv5,100,19,c1,2,0.8652
toy,cv5,100,19,c1,3,0.8368
toy,cv5,100,19,c1,4,0.8453
toy,cv5,100,19,c1,5,0.8019
toy,cv5,100,19,c2,1,0.8117
toy,cv5,100,19,c2,2,0.8107
toy,cv5,100,19,c2,3,0.8281
toy,cv5,100,19,c2,4,0.8006
toy,cv5,100,19,c2,5,0.8365
toy,cv5,100,19,c3,1,0.7954
toy,cv5,100,19,c3,2,0.7654
toy,cv5,100,19,c3,3,0.7723
toy,cv5,100,19,c3,4,0.7619
toy,cv5,100,19,c3,5,0.76
toy,cv5,100,20,c1,1,0.8247
toy,cv5,100,20,c1,2,0.8611
toy,cv5,100,20,c1,3,0.8466
toy,cv5,100,20,c1,4,0.9233
toy,cv5,100,20,c1,5,0.9051
toy,cv5,100,20,c2,1,0.8335
toy,cv5,100,20,c2,2,0.7933
toy,cv5,100,20,c2,3,0.7811
toy,cv5,100,20,c2,4,0.8617
toy,cv5,100,20,c2,5,0.8292
toy,cv5,100,20,c3,1,0.7768
toy,cv5,100,20,c3,2,0.6989
toy,cv5,100,20,c3,3,0.7925
toy,cv5,100,20,c3,4,0.7759
toy,cv5,100,20,c3,5,0.7211
toy,cv5,500,1,c1,1,0.8443
toy,cv5,500,1,c1,2,0.8532
toy,cv5,500,1,c1,3,0.8506
toy,cv5,500,1,c1,4,0.8465
toy,cv5,500,1,c1,5,0.8488
toy,cv5,500,1,c2,1,0.817
toy,cv5,500,1,c2,2,0.8218
toy,cv5,500,1,c2,3,0.8377
toy,cv5,500,1,c2,4,0.7892
toy,cv5,500,1,c2,5,0.8172
toy,cv5,500,1,c3,1,0.7621
toy,cv5,500,1,c3,2,0.7636
toy,cv5,500,1,c3,3,0.7555
toy,cv5,500,1,c3,4,0.7389
toy,cv5,500,1,c3,5,0.7639
toy,cv5,500,2,c1,1,0.8707
toy,cv5,500,2,c1,2,0.8316
toy,cv5,500,2,c1,3,0.8604
toy,cv5,500,2,c1,4,0.8461
toy,cv5,500,2,c1,5,0.8493
toy,cv5,500,2,c2,1,0.8074
toy,cv5,500,2,c2,2,0.816
toy,cv5,500,2,c2,3,0.8356
toy,cv5,500,2,c2,4,0.827
toy,cv5,500,2,c2,5,0.8408
toy,cv5,500,2,c3,1,0.7741
toy,cv5,500,2,c3,2,0.7653
toy,cv5,500,2,c3,3,0.7809
toy,cv5,500,2,c3,4,0.7653
toy,cv5,500,2,c3,5,0.7699
toy,cv5,500,3,c1,1,0.8464
toy,cv5,500,3,c1,2,0.8508
toy,cv5,500,3,c1,3,0.8416
toy,cv5,500,3,c1,4,0.8619
toy,cv5,500,3,c1,5,0.8359
toy,cv5,500,3,c2,1,0.8294
toy,cv5,500,3,c2,2,0.8177
toy,cv5,500,3,c2,3,0.8341
toy,cv5,500,3,c2,4,0.829
toy,cv5,500,3,c2,5,0.8418
toy,cv5,500,3,c3,1,0.7688
toy,cv5,500,3,c3,2,0.7411
toy,cv5,500,3,c3,3,0.7592
toy,cv5,500,3,c3,4,0.7459
toy,cv5,500,3,c3,5,0.7538
toy,cv5,500,4,c1,1,0.8681
toy,cv5,500,4,c1,2,0.8577
toy,cv5,500,4,c1,3,0.8416
toy,cv5,500,4,c1,4,0.8378
toy,cv5,500,4,c1,5,0.8504
toy,cv5,500,4,c2,1,0.8054
toy,cv5,500,4,c2,2,0.8119
toy,cv5,500,4,c2,3,0.8237
toy,cv5,500,4,c2,4,0.8339
toy,cv5,500,4,c2,5,0.8273
toy,cv5,500,4,c3,1,0.7325
toy,cv5,500,4,c3,2,0.7637
toy,cv5,500,4,c3,3,0.7609
toy,cv5,500,4,c3,4,0.765
toy,cv5,500,4,c3,5,0.7794
toy,cv5,500,5,c1,1,0.8252
toy,cv5,500,5,c1,2,0.8429
toy,cv5,500,5,c1,3,0.8571
toy,cv5,500,5,c1,4,0.831
toy,cv5,500,5,c1,5,0.8677
toy,cv5,500,5,c2,1,0.8244
toy,cv5,500,5,c2,2,0.8302
toy,cv5,500,5,c2,3,0.8131
toy,cv5,500,5,c2,4,0.8298
toy,cv5,500,5,c2,5,0.8328
toy,cv5,500,5,c3,1,0.7628
toy,cv5,500,5,c3,2,0.7628
toy,cv5,500,5,c3,3,0.7632
toy,cv5,500,5,c3,4,0.7496
toy,cv5,500,5,c3,5,0.7582
toy,cv5,500,6,c1,1,0.8482
toy,cv5,500,6,c1,2,0.8546
toy,cv5,500,6,c1,3,0.862
toy,cv5,500,6,c1,4,0.8373
toy,cv5,500,6,c1,5,0.8485
toy,cv5,500,6,c2,1,0.8378
toy,cv5,500,6,c2,2,0.8111
toy,cv5,500,6,c2,3,0.8101
toy,cv5,500,6,c2,4,0.8224
toy,cv5,500,6,c2,5,0.8301
toy,cv5,500,6,c3,1,0.7601
toy,cv5,500,6,c3,2,0.7759
toy,cv5,500,6,c3,3,0.7703
toy,cv5,500,6,c3,4,0.7701
toy,cv5,500,6,c3,5,0.7666
toy,cv5,500,7,c1,1,0.8779
toy,cv5,500,7,c1,2,0.8475
toy,cv5,500,7,c1,3,0.826
toy,cv5,500,7,c1,4,0.8693
toy,cv5,500,7,c1,5,0.8445
toy,cv5,500,7,c2,1,0.8213
toy,cv5,500,7,c2,2,0.8357
toy,cv5,500,7,c2,3,0.8008
toy,cv5,500,7,c2,4,0.805
toy,cv5,500,7,c2,5,0.8008
toy,cv5,500,7,c3,1,0.7505
toy,cv5,500,7,c3,2,0.7653
toy,cv5,500,7,c3,3,0.7663
toy,cv5,500,7,c3,4,0.7633
toy,cv5,500,7,c3,5,0.743
toy,cv5,500,8,c1,1,0.8223
toy,cv5,500,8,c1,2,0.8507
toy,cv5,500,8,c1,3,0.8443
toy,cv5,500,8,c1,4,0.8555
toy,cv5,500,8,c1,5,0.8584
toy,cv5,500,8,c2,1,0.8217
toy,cv5,500,8,c2,2,0.8291
toy,cv5,500,8,c2,3,0.8228
toy,cv5,500,8,c2,4,0.8264
toy,cv5,500,8,c2,5,0.8115
toy,cv5,500,8,c3,1,0.7578
toy,cv5,500,8,c3,2,0.7624
toy,cv5,500,8,c3,3,0.7698
toy,cv5,500,8,c3,4,0.7553
toy,cv5,500,8,c3,5,0.7663
toy,cv5,500,9,c1,1,0.8468
toy,cv5,500,9,c1,2,0.8486
toy,cv5,500,9,c1,3,0.86
toy,cv5,500,9,c1,4,0.8261
toy,cv5,500,9,c1,5,0.8344
toy,cv5,500,9,c2,1,0.8022
toy,cv5,500,9,c2,2,0.792
toy,cv5,500,9,c2,3,0.8119
toy,cv5,500,9,c2,4,0.829
toy,cv5,500,9,c2,5,0.8166
toy,cv5,500,9,c3,1,0.7624
toy,cv5,500,9,c3,2,0.7731
toy,cv5,500,9,c3,3,0.7759
toy,cv5,500,9,c3,4,0.7592
toy,cv5,500,9,c3,5,0.7762
toy,cv5,500,10,c1,1,0.8511
toy,cv5,500,10,c1,2,0.84
toy,cv5,500,10,c1,3,0.8429
toy,cv5,500,10,c1,4,0.8322
toy,cv5,500,10,c1,5,0.8393
toy,cv5,500,10,c2,1,0.8157
toy,cv5,500,10,c2,2,0.8296
toy,cv5,500,10,c2,3,0.8406
toy,cv5,500,10,c2,4,0.8034
toy,cv5,500,10,c2,5,0.8247
toy,cv5,500,10,c3,1,0.7475
toy,cv5,500,10,c3,2,0.7657
toy,cv5,500,10,c3,3,0.7584
toy,cv5,500,10,c3,4,0.738
toy,cv5,500,10,c3,5,0.7711
toy,cv5,500,11,c1,1,0.8427
toy,cv5,500,11,c1,2,0.8436
toy,cv5,500,11,c1,3,0.8372
toy,cv5,500,11,c1,4,0.8421
toy,cv5,500,11,c1,5,0.8551
toy,cv5,500,11,c2,1,0.8177
toy,cv5,500,11,c2,2,0.8239
toy,cv5,500,11,c2,3,0.8243
toy,cv5,500,11,c2,4,0.8358
toy,cv5,500,11,c2,5,0.8159
toy,cv5,500,11,c3,1,0.7423
toy,cv5,500,11,c3,2,0.7728
toy,cv5,500,11,c3,3,0.756
toy,cv5,500,11,c3,4,0.7734
toy,cv5,500,11,c3,5,0.7646
toy,cv5,500,12,c1,1,0.8484
toy,cv5,500,12,c1,2,0.8542
toy,cv5,500,12,c1,3,0.8734
toy,cv5,500,12,c1,4,0.8749
toy,cv5,500,12,c1,5,0.8508
toy,cv5,500,12,c2,1,0.8219
toy,cv5,500,12,c2,2,0.8329
toy,cv5,500,12,c2,3,0.8099
toy,cv5,500,12,c2,4,0.824
toy,cv5,500,12,c2,5,0.8197
toy,cv5,500,12,c3,1,0.7638
toy,cv5,500,12,c3,2,0.75
toy,cv5,500,12,c3,3,0.7409
toy,cv5,500,12,c3,4,0.7351
toy,cv5,500,12,c3,5,0.7466
toy,cv5,500,13,c1,1,0.8445
toy,cv5,500,13,c1,2,0.8465
toy,cv5,500,13,c1,3,0.8732
toy,cv5,500,13,c1,4,0.8633
toy,cv5,500,13,c1,5,0.8385
toy,cv5,500,13,c2,1,0.8242
toy,cv5,500,13,c2,2,0.8151
toy,cv5,500,13,c2,3,0.8166
toy,cv5,500,13,c2,4,0.8222
toy,cv5,500,13,c2,5,0.8274
toy,cv5,500,13,c3,1,0.7559
toy,cv5,500,13,c3,2,0.7728
toy,cv5,500,13,c3,3,0.7463
toy,cv5,500,13,c3,4,0.7601
toy,cv5,500,13,c3,5,0.7912
toy,cv5,500,14,c1,1,0.8527
toy,cv5,500,14,c1,2,0.8672
toy,cv5,500,14,c1,3,0.8511
toy,cv5,500,14,c1,4,0.857
toy,cv5,500,14,c1,5,0.8493
toy,cv5,500,14,c2,1,0.818
toy,cv5,500,14,c2,2,0.8106
toy,cv5,500,14,c2,3,0.8252
toy,cv5,500,14,c2,4,0.8098
toy,cv5,500,14,c2,5,0.828
toy,cv5,500,14,c3,1,0.773
toy,cv5,500,14,c3,2,0.7644
toy,cv5,500,14,c3,3,0.7566
toy,cv5,500,14,c3,4,0.7654
toy,cv5,500,14,c3,5,0.7563
toy,cv5,500,15,c1,1,0.8612
toy,cv5,500,15,c1,2,0.828
toy,cv5,500,15,c1,3,0.846
toy,cv5,500,15,c1,4,0.8261
toy,cv5,500,15,c1,5,0.8321
toy,cv5,500,15,c2,1,0.8364
toy,cv5,500,15,c2,2,0.8307
toy,cv5,500,15,c2,3,0.8114
toy,cv5,500,15,c2,4,0.802
toy,cv5,500,15,c2,5,0.7844
toy,cv5,500,15,c3,1,0.7535
toy,cv5,500,15,c3,2,0.789
toy,cv5,500,15,c3,3,0.7652
toy,cv5,500,15,c3,4,0.7533
toy,cv5,500,15,c3,5,0.7656
toy,cv5,500,16,c1,1,0.8313
toy,cv5,500,16,c1,2,0.8464
toy,cv5,500,16,c1,3,0.8512
toy,cv5,500,16,c1,4,0.849
toy,cv5,500,16,c1,5,0.8595
toy,cv5,500,16,c2,1,0.8241
toy,cv5,500,16,c2,2,0.828
toy,cv5,500,16,c2,3,0.8117
toy,cv5,500,16,c2,4,0.8308
toy,cv5,500,16,c2,5,0.8395
toy,cv5,500,16,c3,1,0.7484
toy,cv5,500,16,c3,2,0.7493
toy,cv5,500,16,c3,3,0.776
toy,cv5,500,16,c3,4,0.7577
toy,cv5,500,16,c3,5,0.7768
toy,cv5,500,17,c1,1,0.8447
toy,cv5,500,17,c1,2,0.8675
toy,cv5,500,17,c1,3,0.8516
toy,cv5,500,17,c1,4,0.8531
toy,cv5,500,17,c1,5,0.8688
toy,cv5,500,17,c2,1,0.8157
toy,cv5,500,17,c2,2,0.8087
toy,cv5,500,17,c2,3,0.8146
toy,cv5,500,17,c2,4,0.8254
toy,cv5,500,17,c2,5,0.8012
toy,cv5,500,17,c3,1,0.7676
toy,cv5,500,17,c3,2,0.7535
toy,cv5,500,17,c3,3,0.7738
toy,cv5,500,17,c3,4,0.7313
toy,cv5,500,17,c3,5,0.7506
toy,cv5,500,18,c1,1,0.8298
toy,cv5,500,18,c1,2,0.8401
toy,cv5,500,18,c1,3,0.853
toy,cv5,500,18,c1,4,0.8478
toy,cv5,500,18,c1,5,0.847
toy,cv5,500,18,c2,1,0.8181
toy,cv5,500,18,c2,2,0.8224
toy,cv5,500,18,c2,3,0.8079
toy,cv5,500,18,c2,4,0.8285
toy,cv5,500,18,c2,5,0.828
toy,cv5,500,18,c3,1,0.7646
toy,cv5,500,18,c3,2,0.7667
toy,cv5,500,18,c3,3,0.7636
toy,cv5,500,18,c3,4,0.7844
toy,cv5,500,18,c3,5,0.759
toy,cv5,500,19,c1,1,0.8463
toy,cv5,500,19,c1,2,0.841
toy,cv5,500,19,c1,3,0.8376
toy,cv5,500,19,c1,4,0.8351
toy,cv5,500,19,c1,5,0.8393
toy,cv5,500,19,c2,1,0.8192
toy,cv5,500,19,c2,2,0.824
toy,cv5,500,19,c2,3,0.8206
toy,cv5,500,19,c2,4,0.8108
toy,cv5,500,19,c2,5,0.8308
toy,cv5,500,19,c3,1,0.7689
toy,cv5,500,19,c3,2,0.7581
toy,cv5,500,19,c3,3,0.7522
toy,cv5,500,19,c3,4,0.7666
toy,cv5,500,19,c3,5,0.7623
toy,cv5,500,20,c1,1,0.8326
toy,cv5,500,20,c1,2,0.8492
toy,cv5,500,20,c1,3,0.8531
toy,cv5,500,20,c1,4,0.8392
toy,cv5,500,20,c1,5,0.8523
toy,cv5,500,20,c2,1,0.8025
toy,cv5,500,20,c2,2,0.836
toy,cv5,500,20,c2,3,0.835
toy,cv5,500,20,c2,4,0.817
toy,cv5,500,20,c2,5,0.8244
toy,cv5,500,20,c3,1,0.7311
toy,cv5,500,20,c3,2,0.7461
toy,cv5,500,20,c3,3,0.7565
toy,cv5,500,20,c3,4,0.7471
toy,cv5,500,20,c3,5,0.7686
